acc_x[mg],acc_y[mg],acc_z[mg]
-501.4219942589978,356.7813677453565,799.9214818516008
-501.6402135285751,345.14130717421347,796.032284215303
-489.58920732360195,337.4516272121469,811.9378177053327
-511.8373756583543,364.8819933412532,831.1349951308553
-519.8717197004074,357.1362289874728,823.191405831757
-451.05413163516596,337.1538700779574,812.5159967980912
-494.42470160554325,352.68210856918523,780.4163501297589
-560.0699525322103,391.77292959369413,767.5271371977179
-541.2928981864349,360.6063232602367,760.0648539511454
-539.2208348416636,384.29739003635297,814.9602565605993
-536.6491105525333,376.22225734578075,779.7045882131004
-506.33906583797733,341.097112673543,772.4278933172899
-494.75101079369614,325.56683474988915,776.5781383041101
-533.4217087384582,325.83094124905045,772.0740517913865
-544.5192802842969,353.06960073011686,779.6648192807943
-544.0828417451424,357.0403756634529,791.4323443785596
-540.9920819036063,325.9247551406444,775.8847312792851
-549.135535580448,302.70275782249803,767.992127790836
-573.019328720817,291.1045056160871,748.0505575298396
-546.31805968399,290.82816252237006,740.6015305940357
-561.513870689787,302.58752989043154,744.2592526499876
-553.616168620273,310.2996436091836,748.2759148129077
-553.153217459581,318.13922185455795,760.0301835999043
-545.6644215914712,325.7483442357992,752.2670840705033
-568.7018502750685,279.605165882335,763.8520799661455
-572.7195321542016,275.7322837054448,759.8802853165965
-557.63181106698,267.80704929818035,752.2833995299109
-573.5648768947602,271.65851743459797,736.3340182427231
-556.759953704884,295.0589650900155,771.8283001840589
-553.2337750404063,306.53281191844314,760.0679130997844
-572.747064491952,291.1728266023566,755.9033920859825
-569.5747273533776,290.97194250839993,736.3278999454452
-561.4598257304992,310.32411679829505,744.2337597446632
-557.9050950120583,287.04807452086084,740.4404154323853
-557.5512534861549,298.72280544324514,748.256540204861
-549.4077998093131,302.63443683622853,760.1382735184799
-553.016575487042,318.1738922057992,763.9571107360822
-557.2789892572898,318.10047263846474,752.1192252196215
-552.7983562174647,310.50460656799214,771.8354381975497
-553.8619202276008,333.40845242768944,736.4206941208263
-548.9458683648342,349.0937272157159,763.9132629389242
-545.0923607959905,349.06415544553954,763.971386763064
-533.5318380894598,348.9744204187975,764.1447385192702
-549.136555296661,341.3214502403981,760.0118287080707
-525.251742440079,352.9207221630221,779.95441868528
-529.7599078176544,356.64778492145643,760.2504423019075
-532.6589610111507,356.91699000168256,787.6787689985878
-536.7306878495716,364.61584740966595,779.7423177129806
-540.2018018385485,341.57026099636477,795.4663417171002
-540.9655692820688,329.7925387364697,775.8724946847294
-536.3217816481674,345.40949253822663,795.5122289466842
-540.7198176747412,345.302422335864,779.7484360102585
-537.9849387915344,341.1297435923583,748.4064384881689
-548.5910071227178,341.45911192915014,775.7185175365696
-545.1198931337409,364.5046983424513,759.9944935324501
-548.9183360270837,352.96253052775415,763.9010263443685
-548.4543651501788,360.8021087731285,775.655295131365
-545.0107834989524,360.6695456654414,763.9336572631837
-545.3646250248556,368.3051806682201,752.1284026655383
-549.7096358083546,356.6253511647709,740.3292663651707
-548.5634747849674,364.63726145013845,771.7161314006313
-541.4020078212234,364.44045622103374,756.1256902204118
-540.9931016198192,364.54344755854447,767.9054519127327
-541.9475559951666,344.99446803954464,744.4091509332953
-541.2653658486844,345.1657803633249,764.0417471817593
-549.136555296661,341.3214502403981,760.0118287080707
-556.7334410833466,337.54646081995384,763.8357645067379
-538.0940484263231,325.6555500604182,748.4564045826048
-556.6793961240587,345.28406744403037,763.8102716014134
-545.6644215914712,364.3680563699123,744.287804703951
-561.5148904060001,341.20622230833163,736.2799732834353
-556.6528835025213,368.4622169650187,759.8078854654751
-545.5553119566824,360.5329036929023,748.2269684346847
-537.5485002523799,364.4108844508574,756.1838140445515
-560.8061876379804,364.55466443688726,751.910183395961
-552.74533097439,376.1702518189188,759.8405163842904
-549.0814906211601,349.05905686447466,759.9873555189592
-537.9033614944962,352.73615352847304,748.3676892720757
-553.4530140261966,333.5114437652002,748.2004558131473
-549.600526173566,372.1005644129239,740.2782805545218
-542.0026206706674,375.8755538333682,736.4553644720675
-533.3951961169207,368.31843697898876,764.0815161140655
-537.2762360235148,345.16985922817685,768.0257784258642
-541.3469431457225,333.5593704272102,764.0794766816396
-541.7568690633398,352.76572529864944,748.310585164149
-541.4020078212234,345.1311100120837,760.1148200455814
-529.5692208858275,345.10969597161113,768.1420260741436
-525.7697582762718,356.6528835025213,764.2354932622252
-521.2626126149094,372.23414723682407,779.948300388002
-529.6507981828657,352.8136519606594,764.1896060326412
-544.5457929058343,329.89145120912855,783.6672054167326
-530.2228589783464,329.49886046713203,752.4863230562935
-545.255515390067,345.16068178226004,760.0577159376546
-537.221171348014,352.9074658522534,768.0013052367527
-537.5209679146294,348.97034155394556,760.1607072751654
-538.2031580611116,329.4896830212152,744.517240851871
-536.6215782147829,360.78171444886897,783.6814814437143
-548.208613542851,337.6922802384097,787.5105158234464
-533.7490376428241,337.33435984765447,760.2565605991853
-540.773862634029,318.2554695028374,783.7630587407525
-537.3843259420904,329.6946459800238,768.0767642365131
-551.8979468014053,322.3159794629155,795.3562123660986
-545.7459988885093,314.14295401589743,752.3058332865965
