acc_x[mg],acc_y[mg],acc_z[mg]
-946.9808752224257,258.06977918045413,189.18794899379503
-954.9061096296903,265.79820835861386,181.19439360026107
-947.1715621542526,250.29750220513634,185.2875344791545
-947.0073878439631,254.20097586841584,189.20120530456376
-938.974063518123,261.9467402221962,197.14479460366184
-943.8085380838513,257.86889508649745,169.61347656947075
-935.3387752188567,269.5864540898269,189.32357125012112
-947.3357364645422,265.7043944670199,177.38371411236255
-935.556994488434,277.25573972763385,181.44524378865364
-935.1480882870297,258.04836513998157,197.21515502235732
-951.3248662897116,265.70031560216796,173.3986631520448
-939.1922827877004,269.61602586000316,189.26646714219436
-950.7252731564806,273.57456419878355,189.0798590752194
-950.3438992928269,269.80773250804305,200.87185736209616
-931.0223164893212,277.3964605650248,201.13596386125744
-939.573656651354,273.38183783453064,177.47344913910462
-935.0665109899916,269.65477507609637,197.17742552247714
-950.5886311839415,273.6082148338118,193.00678621139738
-935.3928201781445,261.84884746575034,189.34906415544557
-931.348625677474,269.59053295467874,193.30862221043887
-939.0831731529117,265.7818928992062,193.20563087292808
-958.2140690245906,265.96442210132926,196.84295860462035
-939.6827662861426,257.9076443025906,177.5244349497535
-942.8275710869666,261.9773317085855,197.08667077952208
-939.0831731529117,265.7818928992062,193.20563087292808
-947.8812846384853,265.5677524944808,161.67702528386351
-943.0733226942943,265.7767943181413,189.22057991261036
-935.6661041232227,261.7805264794808,181.49622959930255
-943.4822288956984,265.6748226968435,177.4418379365023
-935.6110394477219,269.5181331035573,181.4707366939781
-939.3013924224889,273.4501588208002,185.3273034114606
-943.3180545854091,250.26793043495996,185.34463858708122
-943.2364772883708,261.87434037107477,185.30690908720106
-947.4173137615803,254.09798453090508,177.42144361224274
-935.5845268261845,273.3869364155956,181.45850009942237
-943.1273676535822,258.03918769406476,189.2460728179348
-943.7544931245635,265.606501710574,169.5879836641463
-946.9808752224257,258.06977918045413,189.18794899379503
-931.9757511484554,257.84748104602494,177.63966288182002
-939.6287213268549,265.64525092666713,177.49894204442904
-947.4173137615803,254.09798453090508,177.42144361224274
-928.0957309580745,261.6867125878868,177.685550111404
-936.5379614853188,253.83795689659573,157.96219911998492
-939.8734532179695,250.13536732727283,173.62300071889996
-939.8194082586817,257.87297395134937,173.5975078135755
-936.6470711201075,257.67208985739273,154.0230353892512
-942.9366807217552,265.81146466938253,193.14750704878836
-946.9808752224257,277.3791253894042,185.1988191686254
